technique,case_id,state,runtime_avg,runtime_cnf
marking-3,RE,{'edge10'},0.0, 0.0
marking-5,RE,{'edge10'},0.0, 0.0
marking-7,RE,{'edge10'},0.0, 0.0
marking-9,RE,{'edge10'},0.0, 0.0
marking-3,REA,{'edge10'},0.0, 0.0
marking-5,REA,{'edge10'},0.0, 0.0
marking-7,REA,{'edge10'},0.0, 0.0
marking-9,REA,{'edge10'},0.0, 0.0
marking-3,RF,{'edge41'},0.0, 0.0
marking-5,RF,{'edge41'},0.0, 0.0
marking-7,RF,{'edge41'},0.0, 0.0
marking-9,RF,{'edge41'},0.0, 0.0
marking-3,RFA,{'edge7'},0.0, 0.0
marking-5,RFA,{'edge7'},0.0, 0.0
marking-7,RFA,{'edge7'},0.0, 0.0
marking-9,RFA,{'edge7'},0.0, 0.0
marking-3,RG,{'edge10'},0.0, 0.0
marking-5,RG,{'edge10'},0.0, 0.0
marking-7,RG,{'edge10'},0.0, 0.0
marking-9,RG,{'edge10'},0.0, 0.0
marking-3,RGA,{'edge40'},0.0, 0.0
marking-5,RGA,{'edge40'},0.0, 0.0
marking-7,RGA,{'edge40'},0.0, 0.0
marking-9,RGA,{'edge40'},0.0, 0.0
marking-3,RH,{'edge6'},0.0, 0.0
marking-5,RH,{'edge6'},0.0, 0.0
marking-7,RH,{'edge6'},0.0, 0.0
marking-9,RH,{'edge6'},0.0, 0.0
marking-3,RHA,{'edge10'},0.0, 0.0
marking-5,RHA,{'edge10'},0.0, 0.0
marking-7,RHA,{'edge10'},0.0, 0.0
marking-9,RHA,{'edge10'},0.0, 0.0
marking-3,RI,{'edge40'},0.0, 0.0
marking-5,RI,{'edge40'},0.0, 0.0
marking-7,RI,{'edge40'},0.0, 0.0
marking-9,RI,{'edge40'},0.0, 0.0
marking-3,RIA,{'edge40'},0.0, 0.0
marking-5,RIA,{'edge40'},0.0, 0.0
marking-7,RIA,{'edge40'},0.0, 0.0
marking-9,RIA,{'edge40'},0.0, 0.0
marking-3,RJ,{'edge10'},0.0, 0.0
marking-5,RJ,{'edge10'},0.0, 0.0
marking-7,RJ,{'edge10'},0.0, 0.0
marking-9,RJ,{'edge10'},0.0, 0.0
marking-3,RJA,{'edge41'},0.0, 0.0
marking-5,RJA,{'edge41'},0.0, 0.0
marking-7,RJA,{'edge41'},0.0, 0.0
marking-9,RJA,{'edge41'},0.0, 0.0
marking-3,RK,{'edge41'},0.0, 0.0
marking-5,RK,{'edge41'},0.0, 0.0
marking-7,RK,{'edge41'},0.0, 0.0
marking-9,RK,{'edge41'},0.0, 0.0
marking-3,RKA,{'edge40'},0.0, 0.0
marking-5,RKA,{'edge40'},0.0, 0.0
marking-7,RKA,{'edge40'},0.0, 0.0
marking-9,RKA,{'edge40'},0.0, 0.0
marking-3,RL,{'edge10'},0.0, 0.0
marking-5,RL,{'edge10'},0.0, 0.0
marking-7,RL,{'edge10'},0.0, 0.0
marking-9,RL,{'edge10'},0.0, 0.0
marking-3,RLA,{'edge41'},0.0, 0.0
marking-5,RLA,{'edge41'},0.0, 0.0
marking-7,RLA,{'edge41'},0.0, 0.0
marking-9,RLA,{'edge41'},0.0, 0.0
marking-3,RM,{'edge4'},0.0, 0.0
marking-5,RM,{'edge4'},0.0, 0.0
